place_id,place_name,type_1,type_2,type_3,price_level,average_rating,user_ratings_total,formatted_address,latitude,longitude,geohash,upper_geohash,distance,duration
ChIJ47c9T9nd4EcRWN8qAOZE3nk,Papi Thaï,food,restaurant,,,4.1,24.0,"Rue Jean Lecanuet, 76000 Rouen, France",49.4457093,1.0869897,u0bc29,u0bc2,1.0 km,13 mins
ChIJS3ZLcWre4EcRbzO2CfLsdeg,Au Petit Pétrin,shopping,store,['bakery'],,4.7,165.0,"10 Rue de la Mare du Parc, 76000 Rouen, France",49.4215441,1.0837606,u0bc0s,u0bc0,2.5 km,32 mins
ChIJewBOTNbd4EcRlTDrivvyR4s,Geox Rouen,shopping,store,"['shoe_store', 'clothing_store']",,4.0,17.0,"21 Rue Ganterie, 76000 Rouen, France",49.4431213,1.0947877,u0bc2b,u0bc2,0.5 km,6 mins
ChIJD7gSWX7e4EcR7P9I9oW_kDs,Le Saxo,night_life,bar,,1.0,4.3,686.0,"11 Pl. Saint-Marc, 76000 Rouen, France",49.4379725,1.1002207,u0bc1p,u0bc1,0.5 km,6 mins
ChIJ006Xrtnd4EcRFGpR8JvBNMA,L'Établi,cultural,art_gallery,,,5.0,3.0,"45 Rue des Bons Enfants, 76000 Rouen, France",49.4443684,1.0896031,u0bc2c,u0bc2,0.8 km,10 mins
ChIJ5Roj-I3d4EcRGvWFlhCx99I,Micro76,shopping,store,['electronics_store'],,4.7,133.0,"Centre Commercial des Coquets, 40 Pl. des Coquets, 76130 Mont-Saint-Aignan, France",49.4627221,1.079993,u0bc2s,u0bc2,3.1 km,46 mins
ChIJrcY4NwXf4EcR5UbfaXadtB0,Parc de la Presqu'ile Rollet,nature,park,,,5.0,1.0,"76100 Rouen, France",49.4423551,1.0633983,u0bc20,u0bc2,2.8 km,34 mins
ChIJ7dILfgfd4EcRM3XMErJxKyw,Levi's®,shopping,store,['clothing_store'],,3.4,34.0,"Centre Commercial Docks 76, 1 Bd Ferdinand de Lesseps, 76000 Rouen, France",49.4457929,1.065087,u0bc21,u0bc2,2.5 km,32 mins
ChIJM5ce54ne4EcRPAvl_5fkHN4,Parc Départemental du Matériel,shopping,store,"['electronics_store', 'home_goods_store']",,4.0,1.0,"7 Av. du Grand Cours, 76100 Rouen, France",49.4271731,1.1027824,u0bc1j,u0bc1,2.2 km,28 mins
ChIJJx4klT3c4EcRxR-KWYbDwH0,Fournil du mitron,shopping,store,['bakery'],,4.2,169.0,"72 Rue Jean Texcier, 76000 Rouen, France",49.4551974,1.1248958,u0bc3e,u0bc3,3.3 km,49 mins
ChIJy4zy0ELe4EcRkHerkIoIiaM,Hermier Pascal,shopping,store,['bakery'],,4.4,42.0,"3 Rue Léon Salva, 76300 Sotteville-lès-Rouen, France",49.4190333,1.0903543,u0bc0u,u0bc0,2.7 km,34 mins
ChIJ7w7Cltfd4EcRROy_ZoeWlYY,Le Diapason,night_life,bar,"['restaurant', 'cafe']",,3.5,147.0,"Espace du Palais, 8 All. Eugène Delacroix, 76000 Rouen, France",49.442803,1.093323,u0bc2b,u0bc2,0.6 km,7 mins
ChIJE5VLsE3f4EcR2rLGL_FIfs0,Jiyan Kurdistan,food,cafe,['store'],,5.0,3.0,"20 Rue Meridienne, 76300 sotteville, France",49.4238735,1.0876744,u0bc0v,u0bc0,2.1 km,28 mins
ChIJ-8xe9DTe4EcRXChewsNHcnM,"Centre Vedavyasa, école traditionnelle de Yoga",sport,gym,['health'],,4.9,7.0,"41 Rue du Madrillet, 76800 Saint-Étienne-du-Rouvray, France",49.4031675,1.0753258,u0bc03,u0bc0,4.5 km,59 mins
ChIJq5UOM8fd4EcRVuMnZgs3a7M,L'inattendue,shopping,store,['jewelry_store'],,5.0,1.0,"85 Rue Ecuyere, 76000 Rouen, France",49.44379,1.0906077,u0bc2b,u0bc2,0.7 km,9 mins
ChIJy2OUCtbd4EcRV1gqDRcIpbM,Payiz,food,restaurant,,2.0,4.7,336.0,"9 Rue de l'Hôpital, 76000 Rouen, France",49.4425318,1.0972951,u0bc2b,u0bc2,0.6 km,7 mins
ChIJRSzy5fzd4EcRtFfO0mOGvFM,Du Bruit dans la Cuisine | Du Bruit dans la Maison - Rouen,shopping,store,,,4.1,96.0,"Docks 76, Bd Ferdinand de Lesseps, 76000 Rouen, France",49.4464858,1.0650646,u0bc21,u0bc2,2.6 km,33 mins
ChIJgZ0CjTTe4EcR2O2QXXFsjIs,Croq'minute,food,restaurant,['meal_takeaway'],,4.4,91.0,"2 bis Rue du Madrillet 76800, 76800 Saint-Étienne-du-Rouvray, France",49.4030129,1.0748969,u0bc03,u0bc0,4.6 km,1 hour 0 mins
ChIJK7zY4_ff4EcRwbGhVYIY2T0,Burger King,night_life,bar,"['meal_takeaway', 'restaurant']",,3.7,2076.0,"1 Bd Charles de Gaulle, 76140 Le Petit-Quevilly, France",49.4224152,1.0669749,u0bc0m,u0bc0,3.0 km,39 mins
ChIJqUh7hf7d4EcRjbCwJPkleZY,Musee Maritime & Fluvial,cultural,museum,['tourist_attraction'],,5.0,1.0,"Bd Emile Duchemin, 76000 Rouen, France",49.4447721,1.0617328,u0bc21,u0bc2,2.7 km,33 mins
